Country,NEW-ADV
AT,0.4796839729119639
BE,0.24943566591422123
BG,0.13656884875846498
CY,0.38261851015801357
CZ,0.13544018058690746
DE,0.2979683972911964
DK,0.3261851015801354
EE,0.463882618510158
EL,0.3668171557562077
ES,0.19413092550790068
FI,0.20993227990970656
FR,0.23702031602708803
HR,0.18848758465011287
HU,0.17381489841986458
IE,0.31151241534988716
IT,0.2178329571106095
LT,0.41309255079006774
LU,0.5948081264108351
LV,0.13205417607223474
MT,0.0857787810383747
NL,0.2528216704288939
PL,0.05869074492099322
PT,0.2020316027088036
RO,0.1489841986455982
SE,0.10158013544018059
SI,0.17042889390519186
SK,0.1986455981941309
